what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1336012693872
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1336012693873
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1336012693873
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1336012693873
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1336012693873
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1336012693874
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1336012693874
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1336012693874
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1336012693891
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1336012693891
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1336012693891
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1336012693891
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1336012693891
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1336012693891
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1336012693891
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1336012693891
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1336012693891
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1336012693892
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1336012693892
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1336012693892
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1336012693892
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1336012693892
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1336012693893
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1336012693893
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1336012693893
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1336012693893
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1336012693904
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1336012693906
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1336012693906
started,bundle,org.deved.antlride.core,2.1.2.201108281759,"org.deved.antlride.core",1336012693906
started,bundle,org.deved.antlride.integration.jdt,2.1.2.201108281759,"org.deved.antlride.integration.jdt",1336012693906
started,bundle,org.deved.antlride.ui,2.1.2.201108281759,"org.deved.antlride.ui",1336012693906
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1336012693906
os,sysinfo,,,"macosx",1336012693911
arch,sysinfo,,,"x86_64",1336012693911
ws,sysinfo,,,"cocoa",1336012693911
locale,sysinfo,,,"en_US",1336012693911
processors,sysinfo,,,"2",1336012693911
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1336012693911
java.runtime.version,sysinfo,,,"1.6.0_31-b04-415-11M3635",1336012693911
java.specification.name,sysinfo,,,"Java Platform API Specification",1336012693911
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1336012693911
java.specification.version,sysinfo,,,"1.6",1336012693911
java.vendor,sysinfo,,,"Apple Inc.",1336012693911
java.version,sysinfo,,,"1.6.0_31",1336012693911
java.vm.info,sysinfo,,,"mixed mode",1336012693911
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1336012693911
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1336012693911
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1336012693911
java.vm.specification.version,sysinfo,,,"1.0",1336012693911
java.vm.vendor,sysinfo,,,"Apple Inc.",1336012693911
java.vm.version,sysinfo,,,"20.6-b01-415",1336012693911
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1336012693914
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1336012695210
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1336012695323
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1336012695378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336012702105
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1336012702136
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1336012702183
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1336012706067
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1336012706100
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1336012706121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336012707791
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336012713655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336012714316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336012737841
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336012738205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336012738709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336012739172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336012742751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336012766658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336013387461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336013388512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336014640345
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336014641150
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1336014641769
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1336014642357
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1336014642457
